key_hex,purpose,notes
da982874adbe94fe3be01ee2e54b75ab2c127feda703327e3697ece8318fa5138d0b992e1ecd01513d4ce5286e095531aaa5225d72f42d07c24d403cdf0123b97837f51a653234e686719d04ef84085bbd021a99eba601009a73906d8fa207a0d097d3da456181353d14f9c4c05f6adc0b961ab09fe32aeabd2ad698c79b71ab3b740f3cdbb260be5a4b4e18e9db2a735c8961659efeed3ca6cb4e6fe49ef90046b3ff194d2a63b38e66c6188570c750656f3b74e548830f08585d2d239d5ea3fee8db00a1d2f4e3194df2ee7af6279ee5cd9c2da2f27f9c17adef133739d1b4c82c41d686c0e9ec21f8591b7fb93a7c9f5c019d6204c228bd0aad3cca10ec1b,c2_rsa_pubkey_modulus,"RSA-2048 (e=65537) C2 pubkey for get_targets K transport: K=base32(RSA-PKCS1v15(pub,M)), M=0x0000||46 rand bytes. Extracted from core. Accepted live by C2 185.76.78.136 (get_targets returned 200 targets 2026-07-05)."
n/a,session_aesgcm_key,"Per-session AES-256-GCM key = ASCII bytes of (C + '0')[-32:] (append a literal '0' to the C=<uuid4>-<pid> cookie, take last 32 chars). Encrypts the login body AND decrypts the get_targets response; server re-derives from the C cookie. Framing = base64(nonce12||ct||tag16). Reversed and validated live end-to-end 2026-07-05 (2 sessions). Login payload={key:<16B>,user:<bcrypt-hash suffix>,client:<uuid>,inf:{...}}; login response = plaintext int64 session token."
n/a,login_payload_key_field,"16-byte client-generated value in login payload.key. Distinct from the session AES key and the RSA K transport. NOT the set_attack_count key (reports reuse the (C+'0')[-32:] session key; the report body's own 'key' field is empty). Downstream role unverified; not needed for target polling or reporting."
n/a,set_attack_count_transport,"Reporting reuses the (C+'0')[-32:] session key (same as login/get_targets). POST /client/set_attack_count, cookies U C T=-<unix ns> K=<base64 128B, NOT validated by C2>. Body {data:enc(outer)}; outer={push_time,result:enc(stats),b,l,key:''}; stats=[{target_id,request_id,success,total,request_len}] (nil->'null'). Reversed + validated live 2026-07-05."
