sha256,arch,first_seen,description
0c2b94031fe5b6bb8add1c63623b556fb3ca56567994a80827b7acc6194e26b9,x86,2026-07-09,"peer4you 'Peer Server' relay / proxyware component (ELF i386, 45KB); UPnP IGD AddPortMapping with NewPortMappingDescription=RELAY; reports {""status"":""ONLINE"",""connections"",""bandwidth_mbps""} to director; directors i.peer4you.net + datacenter pool o.peer4you.net; 10 MB bandwidth self-test; masquerades as libdalvikengine.so"
15a00d70e86cd61835f459b0f4c49f7743d31f0d1adaa7f1700988de500766fe,arm,2026-07-11,"Mirai telnet scanner + embedded peer4you relay (ELF ARM 32-bit, 120KB); C2 www.c1s.su (director port 9000); HTTP report to boblazar./roswell.inhumanencounters.org:80; relay POST {""status"":""ONLINE""} to :9000; telnet scan on 23/2323/4719/9023/60023/57447; busybox echo-drop loader (.d/.ffaaxx/telnet.echo); targets TJ2100N GPON ONT default creds; config key 8badf00d... (= jackskid c1s.su tier)"
2ce459b1173b13ae5b2fe54d35a269b989cc8d4d290b7b3cabb221665744aca6,arm,2026-07-11,"Mirai + peer4you relay (ELF ARM 32-bit, 124KB); static strings byte-identical to 15a00d70 (busybox echo-drop loader, TJ2100N GPON default creds, GET /dlr.)"
2decdf6773be550512179ea8a27f9bda88887649ec0872cf67efe00d99c0ea31,arm64,2026-07-11,"Mirai + peer4you relay (ELF ARM aarch64 static-pie, 145KB); same family as 15a00d70 by static similarity (busybox echo-drop loader, TJ2100N GPON default creds)"
1a9a54eb8b3ed707852eace623b935bc687c46d5e0cfa793751e778dacd8b62b,APK,2026-07-23,"jackskid Android APK (com.android.s4protect, 306 KB); first dual-payload build: drops an inix wolfSSL DDoS bot (assets/lol = e4cc4c89, UPX-packed) and, in parallel, the peer4you relay module (assets/lol2 = b22133dd, ARM); lol2 = peer4you_relay code (relay ingress 127.0.0.1:40538 + verbatim 165-port RELAY table), director persistfromchicago.com (n1./tractor.), heartbeat to localhost:9813 dex coordinator; direct evidence the jackskid Android payload carries the peer4you relay. The APK's DDoS payload resolves C2 through burrberry.eth / ukranianhorseriding.eth / 24carnforth2merseyside.sol, so this is a jackskid Tier A build, not Tier B. Superseded 2026-07-27 by 695ab309 (com.android.wall.color.cinnamon), which drops lol2 and reverts to a single payload: on Android the dual-payload design lasted one build"
