sha256,arch,first_seen,description
62e424b27c7175ad09a152dd13ba44ec93a77026bfebf4275b2423971a67dce7,armv7l,2026-06-08,"iranbot armv7l build (WindowsXP.armv7l); ADB drop from 31.56.209.125; static-pie stripped ARM ELF; encrypted #C command frame (glibc TYPE_3 shuffle + 0x9e3779b9 brute); config key 0x6a2096fa -> femboys.chloebulldog.online:44510; 7 methods; systemd persistence"
83e04563f80466474c424c7851f38a683f0cd429ed8323db8eb8e4a493ce988f,armv7l,2026-06-08,"iranbot armv7l raw build (WindowsXP.raw, nc/:4444 delivery from 31.56.209.125); sibling of 62e424b2"
7e4d2b3b032eb50d65580ac1ccd5e2544e2deabd27317fd99fc4cc3511cb242e,x86_64,2026-07-09,"iranbot x86_64 build (xpe.x86_64); drop point http://141.11.88.108:81/xpe.x86_64 (BANATSYNC RO, reported 2026-07-05); static-pie stripped ELF; XOR-0x88 config -> mythickass.onthewifi.com:313 resolved via hardcoded Quad9 (9.9.9.9) DNS-over-UDP; telnet bindshell backdoor (10-port pool, random creds reported to C2); methods http/icmp/udpplain; does NOT use the armv7l #C cipher (distinct build, same IRAN-BOTNET branding)"
b1a6dba6636b519d76d7219f6264ac9f1456681c0855baef954fb435d3e25ce5,x86_64,2026-07-20,"iranbot x86_64 self-replicating build (iran.x86_64); anonymous community source 2026-07-20, original drop point not recorded; static stripped non-PIE ELF (164272 bytes); PLAINTEXT hardcoded C2 103.83.87.122:8060 (no domain/DNS/crypto, crypto=false); FIRST iranbot build with self-propagation: Mirai telnet default-cred scanner + Realtek SDK exploit spreader (!selfrep telnet / !selfrep realtek; stagers telnet.sh + mipsel/mips fetched from 103.83.87.122:80); on-demand password-gated !openshell interactive shell; cmds stop/!kill/!update/!shellcmd/!openshell/!selfrep, ping->pong; methods http/icmp/udpplain (same reduced 3-set as 7e4d2b3b); generic Chrome UA (NO IRAN-BOTNET suffix); /etc/init.d/xs.main + /etc/rc.local persistence; watchdog-killer + /proc rival-hunter; simple <arch> <tag> registration; Death to israel branding + 'Not a mirai at all' taunt; attack-option parser vocabulary (psize=/srcport=/httpmode=/gport=/gre_proto=/msg=/usleep=) matches armv7l 62e424b2 engine; NOT flylegit; source: static analysis (radare2) 2026-07-20"
